,0,1,2,3,4,5,6,7,8
0,(¥N½X¬° 2330 ¥x¿n¹q  ¦~«×°£Åv°£®§¬õ§Q),,,,,,,,
1,ªÑªF·|  ¤é´Á,ªÑ²¼ªÑ§Q(ªÑ),²{ª÷ªÑ§Q(¤¸),¸³ºÊ¹S³Ò  (¥a¤¸),,,,,
2,ªÑªFªÑ§Q,°£Åv  ¥æ©ö¤é,­û¤u¬õ§Q,ªÑªFªÑ§Q  (¤¸/ªÑ),°£®§  ¥æ©ö¤é,­û¤u¬õ§QÁ`ª÷ÃB(¥a¤¸),,,
3,¬Õ¾l°tªÑ  (¤¸/ªÑ),¤½¿n°tªÑ  (¤¸/ªÑ),°tªÑ  Á`±i¼Æ,,,,,,
4,109/06/09,0.00,0.00,,0,9.50,109/06/18,23165745.0,360404.0
5,108/06/05,0.00,0.00,,0,8.00,108/06/24,23570040.0,349271.0
6,107/06/05,0.00,0.00,,0,8.00,107/06/25,23019082.0,368919.0
7,106/06/08,0.00,0.00,,0,7.00,106/06/26,22418340.0,376432.0
8,105/06/07,0.00,0.00,,0,6.00,105/06/27,20556888.0,356186.0
9,104/06/09,0.00,0.00,,0,4.50,104/06/29,17645966.0,406854.0
10,103/06/24,0.00,0.00,,0,3.00,103/07/14,12634665.0,104137.0
11,102/06/11,0.00,0.00,,0,3.00,102/07/03,11115239.0,71352.0
12,101/06/12,0.00,0.00,,0,3.00,101/07/04,8990027.0,62324.0
13,100/06/09,0.00,0.00,,0,3.00,100/06/29,10908338.0,51131.0
14,99/06/15,0.00,0.00,,0,3.00,99/07/06,6691338.0,67692.0
15,98/06/10,0.02,0.03,98/07/15,141870,3.00,98/07/15,7494988.0,158080.0
16,97/06/13,0.02,0.03,97/07/16,393988,3.03,97/07/16,3939883.0,176890.0
17,96/05/07,0.02,0.03,96/06/08,0,3.00,96/06/08,4572798.0,285800.0
18,95/05/16,0.15,0.15,95/06/20,343213,2.50,95/06/20,3432129.0,257410.0
19,94/05/10,0.50,0.00,94/06/13,308622,2.00,94/06/13,3086215.0,231466.0
20,93/05/11,1.40,0.00,93/06/14,27265,0.60,,68163.0,12781.0
21,92/06/03,0.80,0.00,92/07/07,153901,0.00,,0.0,58484.0
22,91/05/07,1.00,0.00,91/06/19,107078,0.00,,0.0,0.0
23,90/05/15,4.00,0.00,90/06/26,467443,0.00,,0.0,0.0
24,89/04/14,2.56,0.24,89/05/15,0,0.00,,0.0,0.0
25,88/05/11,2.30,0.00,88/06/15,0,0.00,,0.0,0.0
26,87/05/12,4.50,0.00,87/06/15,0,0.00,,0.0,0.0
27,86/05/13,5.00,0.00,86/06/12,0,0.00,,0.0,0.0
28,85/04/08,8.00,0.00,85/05/04,0,0.00,,0.0,0.0
29,84/05/12,8.00,0.00,84/06/15,0,0.00,,0.0,0.0
30,83/04/21,2.48,0.00,83/06/29,0,1.00,83/06/29,0.0,0.0
31,82/05/19,1.04,0.00,82/08/02,0,0.00,,0.0,0.0
32,81/05/19,0.40,0.00,81/11/25,0,0.10,81/06/25,0.0,0.0
