,date,tosin,zyin,wize
0,109/08/27,163,-605,-7586
1,109/08/26,-134,491,4212
2,109/08/25,40,274,-2408
3,109/08/24,42,921,2409
4,109/08/21,200,-132,9318
5,109/08/20,-594,-1647,-7048
6,109/08/19,100,-57,-1659
7,109/08/18,89,-95,8299
8,109/08/17,261,1348,12916
9,109/08/14,-192,155,-3686
10,109/08/13,552,-856,16852
11,109/08/12,261,-1686,-18678
12,109/08/11,88,-179,-4559
13,109/08/10,105,412,6043
14,109/08/07,65,-307,2937
15,109/08/06,86,130,11731
16,109/08/05,182,-159,-1269
17,109/08/04,79,-175,10534
18,109/08/03,-122,327,-18259
19,109/07/31,-242,962,-15670
20,109/07/30,-290,574,-663
21,109/07/29,-1495,-1690,-7727
22,109/07/28,-1286,-125,-1948
23,109/07/27,-1507,864,18171
24,109/07/24,50,-1819,13379
25,109/07/23,-117,-495,-13178
26,109/07/22,-588,-605,-9217
27,109/07/21,-338,-955,17561
28,109/07/20,-1149,-844,2380
29,109/07/17,682,-2311,9823
30,109/07/16,89,929,-17400
31,109/07/15,-483,-560,-2622
32,109/07/14,-307,997,-2446
33,109/07/13,-390,576,4862
34,109/07/10,25,-129,23961
35,109/07/09,86,136,10483
36,109/07/08,-79,1096,1384
37,109/07/07,-185,73,11774
38,109/07/06,-8,945,11930
39,109/07/03,3316,-354,24697
40,109/07/02,472,100,6445
41,109/07/01,122,-389,9092
42,109/06/30,-115,504,11940
43,109/06/29,805,-333,-8239
44,109/06/24,-167,716,23898
45,109/06/23,503,196,17043
46,109/06/22,-140,76,4989
47,109/06/19,-265,-1012,700
48,109/06/18,-33,-2376,6577
49,109/06/17,-5,-666,5115
50,109/06/16,-93,1477,15691
51,109/06/15,385,-276,-6463
52,109/06/12,-39,958,4883
53,109/06/11,-122,-1404,16042
54,109/06/10,-543,705,10341
55,109/06/09,-439,-272,9579
56,109/06/08,1566,-94,11671
57,109/06/05,286,768,19835
58,109/06/04,307,467,14766
59,109/06/03,376,4470,14653
60,109/06/02,224,84,4214
61,109/06/01,-13,145,9082
62,109/05/29,-254,1685,-21158
63,109/05/28,-432,526,-9
64,109/05/27,-173,-85,4031
65,109/05/26,681,199,16341
66,109/05/25,-42,369,-8520
67,109/05/22,104,97,-19300
68,109/05/21,166,808,11764
69,109/05/20,150,123,11620
70,109/05/19,1171,161,-1108
71,109/05/18,-245,-289,-42709
72,109/05/15,933,120,8841
73,109/05/14,451,44,-18201
74,109/05/13,718,-88,-7341
75,109/05/12,178,180,-30763
76,109/05/11,465,567,1037
77,109/05/08,-51,476,-10659
78,109/05/07,141,987,-3801
79,109/05/06,360,-1276,-6943
80,109/05/05,28,34,-6050
81,109/05/04,453,-744,-37992
82,109/04/30,1803,628,13706
83,109/04/29,169,-1392,15525
84,109/04/28,-968,335,-1499
85,109/04/27,132,217,8460
86,109/04/24,70,-101,-567
87,109/04/23,-120,-387,5030
88,109/04/22,-323,-214,-6089
89,109/04/21,-282,-1675,-15656
90,109/04/20,-13,-613,-1076
91,109/04/17,2427,-490,57331
92,109/04/16,301,-188,-6122
93,109/04/15,729,-2037,-587
94,109/04/14,322,945,15372
95,109/04/13,40,-1194,-5652
96,109/04/10,-542,493,-3792
97,109/04/09,-123,-188,4812
98,109/04/08,1213,-1109,8738
99,109/04/07,205,-254,21623
100,109/04/06,-558,1389,4556
101,109/04/01,661,-1032,2247
102,109/03/31,208,-1587,9586
103,109/03/30,-731,-11,-11924
104,109/03/27,-452,-2113,-5230
105,109/03/26,-12,-694,20210
106,109/03/25,54,-3188,11870
107,109/03/24,104,-404,17391
108,109/03/23,716,-1328,-15773
109,109/03/20,1588,-2250,-14569
110,109/03/19,1413,-4529,-28657
111,109/03/18,502,-3879,-32425
112,109/03/17,458,-214,-37529
113,109/03/16,175,-5213,-41867
114,109/03/13,694,1686,-38615
115,109/03/12,-147,-3715,-38543
116,109/03/11,114,-4314,-21223
117,109/03/10,419,1270,-23367
118,109/03/09,357,-2123,-53912
119,109/03/06,31,-1183,-34757
120,109/03/05,-144,-746,-7424
121,109/03/04,490,-1659,10137
122,109/03/03,-341,-975,-4002
123,109/03/02,492,2951,-35931
124,109/02/27,235,-444,-24122
125,109/02/26,246,392,-35596
126,109/02/25,-117,1144,-12928
127,109/02/24,231,50,-26476
128,109/02/21,-222,-622,-5035
129,109/02/20,-355,251,-7735
130,109/02/19,-64,1859,-2713
131,109/02/18,-554,1448,-40791
132,109/02/17,-302,52,-5521
133,109/02/14,-80,-310,-975
134,109/02/13,-366,-1018,2055
135,109/02/12,11,819,5098
136,109/02/11,24,-211,114
137,109/02/10,-713,428,-8305
138,109/02/07,-145,62,-4717
139,109/02/06,29,1274,1095
140,109/02/05,-44,-1427,3003
141,109/02/04,-306,-1557,6328
142,109/02/03,330,1309,-10692
143,109/01/31,-76,-402,-16245
144,109/01/30,-1955,-1955,-27189
145,109/01/20,-601,1169,-3629
146,109/01/17,-1277,33,-17769
147,109/01/16,-147,2603,-24570
148,109/01/15,-935,-322,-17905
149,109/01/14,-262,714,4419
150,109/01/13,-236,140,5692
151,109/01/10,-78,-879,1689
152,109/01/09,60,-682,10076
153,109/01/08,-19,-423,-792
154,109/01/07,-302,631,-14355
155,109/01/06,-864,822,-16095
156,109/01/03,197,-1108,2594
157,109/01/02,-179,-17,-4757
